15	02	13	16	14	3.28	-6.205357000	105.8705360	248.958333	1
15	04	11	12	44	40.83	-6.577381000	104.5089290	35.416667	2
15	04	13	10	29	41.04	-5.877976000	104.4419640	35.267857	3
15	08	05	15	41	51.26	-6.711310000	105.1562500	35.267857	4
15	09	23	16	19	41.29	-7.425595000	107.7901790	23.065476	5
15	10	01	00	04	56.19	-6.398810000	103.1696430	35.416667	6
15	10	01	02	49	39.87	-6.830357000	102.5223210	35.267857	7
15	11	04	06	14	34.75	-6.994048000	104.9553570	29.464286	8
15	11	07	05	56	31.47	-5.967262000	104.7544640	346.279762	9
15	01	20	14	34	50.49	-5.424107000	102.3325890	32.217262	10
15	01	26	13	11	51.43	-6.614583000	104.4754460	109.598214	11
15	02	02	21	29	30.91	-5.729167000	105.0223210	357.291667	12
20	02	17	12	11	49.54	-7.239583000	106.4174110	0.074405	13
20	03	10	14	06	27.04	-5.989583000	102.8459820	35.193452	14
20	04	25	04	43	25.16	-6.175595000	106.1383930	154.315476	15
20	05	03	07	06	47.06	-6.212798000	104.5200890	152.901786	16
19	01	02	13	40	22.68	-6.540179000	103.6495540	126.711310	17
19	01	12	12	04	24.98	-6.770833000	104.3080360	6.994048	18
19	02	13	23	41	55.00	-6.956845000	105.8370540	35.193452	19
19	05	12	08	51	44.31	-6.614583000	104.6316960	41.592262	20
19	07	28	14	25	2.95	-7.328869000	106.1495540	36.830357	21
19	08	02	12	03	26.30	-7.410714000	104.6875000	36.607143	22
19	08	11	02	11	18.35	-5.840774000	103.9843750	191.294643	23
19	08	11	04	39	12.14	-6.480655000	103.6272320	70.907738	24
19	09	05	11	56	37.72	-5.133929000	105.5133930	36.755952	25
19	09	22	22	32	30.77	-6.651786000	102.9687500	35.267857	26
19	12	16	12	52	33.15	-7.180060000	106.0602680	35.193452	27
18	12	01	22	36	9.18	-6.971726000	105.0334820	63.169643	28
18	01	23	06	34	56.31	-7.127976000	106.3616070	0.148810	29
18	01	24	06	32	45.32	-6.741071000	106.4062500	0.148810	30
18	03	19	11	36	28.26	-7.273065000	106.1328130	35.230655	31
18	03	26	21	32	32.66	-6.183036000	102.4888390	35.342262	32
18	04	08	16	04	21.90	-6.242560000	104.2522320	39.955357	33
18	04	09	11	46	34.52	-6.867560000	105.6584820	35.342262	34
18	04	14	18	03	11.75	-8.169643000	108.3705360	106.398810	35
18	05	09	21	26	0.91	-6.495536000	104.8549110	35.342262	36
18	06	05	23	00	41.29	-4.873512000	105.6584820	174.627976	37
18	07	08	19	47	27.99	-7.403274000	106.7745540	13.467262	38
18	08	23	03	44	5.91	-6.376488000	103.5602680	124.181548	39
18	09	02	01	07	23.55	-6.808036000	103.5156250	34.151786	40
18	10	25	05	48	42.66	-6.421131000	105.9263390	183.705357	41
18	10	29	21	11	22.97	-5.967262000	106.4508930	199.255952	42
16	03	06	11	51	12.57	-2.894345000	104.7209820	69.866071	43
16	03	17	13	03	11.85	-6.577381000	104.3303570	49.702381	44
16	03	21	02	25	20.26	-4.866071000	105.0223210	182.291667	45
16	04	24	04	32	27.65	-4.375000000	103.3482140	322.916667	46
16	05	06	02	04	9.86	-6.406250000	104.1852680	133.854167	47
16	06	06	09	21	25.46	-6.056548000	103.1473210	214.136905	48
16	06	28	03	32	51.12	-5.758929000	105.2008930	171.279762	49
16	08	07	14	04	1.13	-7.142857000	110.7142860	90.476190	50
16	09	11	15	35	9.41	-5.997024000	105.1562500	297.470238	51
16	11	12	21	07	34.31	-6.354167000	103.5937500	35.267857	52
17	01	18	10	51	41.81	-6.577381000	105.4910710	35.416667	53
17	02	19	15	14	22.77	-6.235119000	105.6473210	110.565476	54
17	03	10	16	13	37.43	-6.391369000	105.3459820	25.372024	55
17	04	24	21	29	4.00	-6.019345000	105.5245540	49.627976	56
17	07	08	22	48	35.60	-7.730655000	105.9263390	29.985119	57
17	09	02	03	32	24.34	-6.063988000	104.9441960	35.342262	58
17	03	21	13	13	20.17	-6.696429000	103.4375000	375.297619	59
17	11	08	19	17	8.83	-6.614583000	104.6540180	28.794643	60
17	11	26	19	06	32.07	-6.205357000	105.6473210	320.089286	61
17	03	10	16	33	6.43	-6.264881000	105.0669640	45.089286	62
17	04	25	16	37	36.90	-7.358631000	105.3459820	34.300595	63
17	04	24	21	28	58.63	-6.465774000	105.1450890	224.330357	64
17	07	17	16	19	3.82	-5.290179000	103.0245540	109.300595	65
17	04	03	19	55	13.62	-6.413690000	103.4598210	174.851190	66
17	05	05	11	25	11.06	-6.860119000	105.0669640	41.517857	67
17	01	07	03	38	10.75	-6.056548000	104.3080360	35.267857	68
